mean_abs_fbme_d1_cgm,total_demand,total_renewables,renewable_share,hourly_d1_overloads,hourly_d1_overload_mw,sum_abs_np_diff,mean_line_loading,max_line_loading,d1_cgm_objective,d0_objective,n_ptdf_rows_raw,n_unique_cnec_idx,n_matched_lines,status,reason,strategy,t
2.967286204703354e-13,37728.54143249258,4093.4646253528467,0.10849782339657245,0,0.0,5.002220859751105e-12,0.291789281080497,0.9181767344837121,1489029.4352954966,0.0,189,63,63,ok,,dynamic_gen,6042
1.5138199064285975,38826.79136062651,4173.203613,0.10748257753876526,1,1.142092433925825,1.0913936421275139e-11,0.3090063667143769,1.004076147238815,1548484.173268065,0.0,189,63,63,ok,,dynamic_gen,6043
6.604736088738853,39416.11457670385,4606.932795,0.1168794246839043,1,4.982903899589928,1.2278178473934531e-11,0.31215313804383177,1.017784068406598,1562066.1103235087,0.0,189,63,63,ok,,dynamic_gen,6044
2.6603470924350966e-13,37278.094977908695,4513.662230999999,0.12108081793543454,0,0.0,3.410605131648481e-12,0.28225243150812046,0.8668011615646982,1439191.857903774,0.0,189,63,63,ok,,dynamic_gen,6045
3.5768640703036585e-13,35016.22310210907,4327.8639825,0.12359596778555273,0,0.0,5.6843418860808015e-12,0.2603692734824939,0.8474089605339458,1311715.1633944735,0.0,189,63,63,ok,,dynamic_gen,6046
9.652873473374443e-13,32659.018877826133,4210.2449565,0.12891523080500586,0,0.0,5.229594535194337e-12,0.24892714027973273,0.8642329054946021,1185807.020881765,0.0,189,63,63,ok,,dynamic_gen,6047
9.254631121332642e-12,31044.041915305083,3979.7358360000007,0.12819644577396166,0,0.0,9.868017514236271e-11,0.24229847029457527,0.8807545983602328,1105241.7189205512,0.0,189,63,63,ok,,dynamic_gen,6048
1.452249370535575e-11,29842.747956383784,3774.6691485,0.12648530738579472,0,0.0,1.389253156958148e-10,0.23747268500916352,0.8906001252811379,1044341.0223255075,0.0,189,63,63,ok,,dynamic_gen,6049
3.875627058441698e-13,28605.04510658426,3671.186868,0.1283405376331664,0,0.0,1.8758328224066645e-12,0.2290563692736465,0.8883832936670673,974389.2407990537,0.0,183,61,61,ok,,dynamic_gen,6050
6.608490626276895e-13,27929.054104612405,3647.929865999999,0.13061415729784967,0,0.0,5.6843418860808015e-12,0.2247684056042224,0.8851566958854946,931541.606186974,0.0,186,62,62,ok,,dynamic_gen,6051
3.720147279319172e-13,27489.244453206564,3381.9426899999994,0.12302785170239565,0,0.0,2.4726887204451486e-12,0.22346462614637813,0.8868096749871861,921289.8494370099,0.0,186,62,62,ok,,dynamic_gen,6052
1.1184893874537872e-12,27389.302823346105,3084.5865885000007,0.11262012065056141,0,0.0,1.2931877790833823e-11,0.22439345981093545,0.8906620736927637,933541.6964906214,0.0,186,62,62,ok,,dynamic_gen,6053
6.269482589666092e-12,28203.129066500227,2948.6421013386544,0.10455017577610072,0,0.0,6.02540239924565e-11,0.23122259029079958,0.8928877570183408,984218.8033557845,0.0,189,63,63,ok,,dynamic_gen,6054
4.3211372750457314e-13,29260.227862339052,3942.966459087209,0.13475515220311102,0,0.0,4.774847184307873e-12,0.2399449130240216,0.9011616319962,977921.9649888733,0.0,189,63,63,ok,,dynamic_gen,6055
7.572693798493182e-13,30629.184431354413,7493.716019111483,0.24465933906618592,0,0.0,1.3642420526593924e-12,0.27292634559082435,0.9415332679600201,851045.8349945972,0.0,195,65,65,ok,,dynamic_gen,6056
1.2995454388306513e-12,31085.45896767961,11798.600406285663,0.3795536819499106,0,0.0,1.5006662579253316e-11,0.2961132413866678,0.7820270582448916,663467.697133283,0.0,288,96,96,ok,,dynamic_gen,6057
61.98230221462752,30981.572856640654,14453.457112931153,0.46651786143366086,2,69.28949609905544,2859.175344357209,0.32952077595334395,1.123647692521795,548531.9111601388,18297.895561888246,312,104,104,ok,,dynamic_gen,6058
48.56520623656999,30923.624439326886,15953.585797298292,0.5159028440731365,3,230.03568766510233,2074.7924619234614,0.35079943435388855,1.3507330861174214,491671.1421773606,87514.11115429178,318,106,106,ok,,dynamic_gen,6059
44.86808067917888,30581.296657046558,16543.618786994928,0.5409717898009057,6,368.04408223332126,492.7328740368507,0.36976579844260893,1.4690002537890199,460372.2640921961,131281.0427345677,318,106,106,ok,,dynamic_gen,6060
32.18684580062411,28623.92543222531,16089.96736367178,0.5621160312819086,5,339.1638345679064,15.935108569685326,0.37354359179219254,1.4385756545941837,397022.4738177578,114952.03087256137,318,106,106,ok,,dynamic_gen,6061
17.522561635280752,27223.878373920772,14906.747789125962,0.5475615040730546,3,162.761022516607,882.1202229297551,0.3508669810397947,1.281839995214889,400263.7181209978,59057.46529446379,324,108,108,ok,,dynamic_gen,6062
15.429769130169193,27439.31795828958,13279.882614935124,0.48397276620074275,2,14.539812904794076,745.0069954544789,0.3074959854672487,1.0259464192495535,500131.2223490235,0.0,333,111,111,ok,,dynamic_gen,6063
6.783244051521683e-12,27810.054869057953,11382.50767961342,0.40929468615604336,0,0.0,9.140421752817929e-11,0.28745861840033277,0.7792002076664196,613353.8647247837,0.0,306,102,102,ok,,dynamic_gen,6064
2.2558519555524707e-13,30830.06489137327,8119.398141753399,0.2633597486856193,0,0.0,1.3642420526593924e-12,0.25651628933648063,0.835172184141828,915613.1646957819,0.0,267,89,89,ok,,dynamic_gen,6065
1.3853876113179466e-11,34429.1158866938,5800.645091726286,0.16848080301615082,0,0.0,1.446096575818956e-10,0.2810820398126804,0.9169791040400451,1229843.730370517,0.0,189,63,63,ok,,dynamic_gen,6066
3.46790273160254e-12,36251.46619117364,5921.6818635,0.1633501340958669,0,0.0,3.001332515850663e-11,0.2933641783410903,0.8780179030418539,1335669.3067673503,0.0,189,63,63,ok,,dynamic_gen,6067
2.871017618999232e-13,38625.88874060102,6259.1724435000015,0.1620460434071713,0,0.0,2.0463630789890885e-12,0.30844291821886083,0.8963549575382902,1465743.541534667,0.0,189,63,63,ok,,dynamic_gen,6068
1.7475127920052392e-11,37324.47587176631,6128.2077195,0.16418737507672854,0,0.0,1.8212631403002888e-10,0.297265287611359,0.8638355622675704,1392643.9229061012,0.0,189,63,63,ok,,dynamic_gen,6069
1.2673765852920903e-11,35250.36573206593,5893.357483499999,0.16718571172551078,0,0.0,1.318767317570746e-10,0.29074239536997765,0.8833903026026979,1276158.9503863081,0.0,189,63,63,ok,,dynamic_gen,6070
5.299698381466315e-13,32268.005560999598,5498.9036670000005,0.1704134969421908,0,0.0,5.229594535194337e-12,0.2765242975331943,0.906022080843757,1131662.0424451192,0.0,186,62,62,ok,,dynamic_gen,6071
2.825836995996449e-13,31054.34631838383,4921.713874499999,0.15848711880907954,0,0.0,4.092726157978177e-12,0.2645441924438114,0.9075382735749493,1092990.3942711418,0.0,186,62,62,ok,,dynamic_gen,6072
5.455859421178802e-13,29824.576750954613,4325.894108999999,0.1450446101925499,0,0.0,5.002220859751105e-12,0.2519839547009802,0.908640495607446,1054312.5237330177,0.0,186,62,62,ok,,dynamic_gen,6073
6.243559418874181e-13,28433.08345520576,3888.0556320000005,0.13674407273222222,0,0.0,8.753886504564434e-12,0.23983696681824235,0.9065093497350749,999094.6297553859,0.0,189,63,63,ok,,dynamic_gen,6074
7.995760447226023e-13,28203.948986745207,3626.4628379999995,0.12857996728416649,0,0.0,8.753886504564434e-12,0.23699177729143361,0.9105674726469741,999133.0561921275,0.0,189,63,63,ok,,dynamic_gen,6075
3.953298386086161e-13,28322.9703823063,3414.5058464999997,0.12055606457976183,0,0.0,2.3874235921539366e-12,0.23733788462130778,0.9161791918648069,1016197.229326152,0.0,192,64,64,ok,,dynamic_gen,6076
6.525742343032277e-12,31361.32889010375,3296.6652795,0.1051188006430519,0,0.0,5.866240826435387e-11,0.2561967434283113,0.9021191509115357,1188771.4238987833,0.0,189,63,63,ok,,dynamic_gen,6077
9.03869794729162,40449.81240555096,3230.2934666752067,0.07985929413684774,1,6.698712855357655,3.183231456205249e-12,0.33750255626029424,1.0239078196281572,1741296.991741456,0.0,174,58,58,ok,,dynamic_gen,6078
43.87867231004923,44557.302592782406,4222.290278157404,0.0947609041046697,3,48.507817223900304,2783.1637379946214,0.36005949764246736,1.0900986262621406,1936675.478617165,37673.01163669757,171,57,57,ok,,dynamic_gen,6079
33.23754327948963,45490.30535154397,7760.265999573156,0.17059164451859998,3,121.09966717677406,707.4548419378011,0.3608430696560307,1.179103759435817,1800441.4352666463,127167.42494366405,189,63,63,ok,,dynamic_gen,6080
40.87317670442696,45365.52235426142,11696.403754610435,0.25782583661822933,3,127.13643897082005,330.01009653258325,0.3736543875391171,1.1865054674487272,1575917.3319306476,134609.82171860553,201,67,67,ok,,dynamic_gen,6081
68.42998210132518,45423.51509158843,14298.023992634962,0.31477141220369104,6,115.40505230674177,2956.194442889079,0.40139358891859966,1.1553756717216135,1434694.276157989,122791.29011878572,222,74,74,ok,,dynamic_gen,6082
46.57417717239657,44745.9507291465,15834.136037621005,0.3538674624094423,6,238.20081167802402,2645.154971178324,0.4173966939698887,1.2313070876132124,1311632.7816164838,177919.94324062666,273,91,91,ok,,dynamic_gen,6083
36.98515967552351,44239.55025784471,16074.435801578367,0.363349891847691,7,243.2157439829806,2262.015086943507,0.41631533798895737,1.1753945775722028,1273517.098664771,161581.64662307553,279,93,93,ok,,dynamic_gen,6084
