d1_cgm_objective,d0_objective,strategy,t
1391829.1586686545,111711.59349034377,dynamic_gen,273
1174639.1690838032,200209.02977606078,dynamic_gen,276
1244815.9353815007,158526.50051886326,dynamic_gen,274
1212252.2848450348,186367.0126031006,dynamic_gen,275
1244506.6732107063,197196.7553198858,dynamic_gen,278
1165826.8983051854,204240.7571502152,dynamic_gen,277
1396635.7143228094,217036.16448706458,dynamic_gen,280
1313764.065596885,207309.8386780179,dynamic_gen,279
1482541.1225073778,208152.98959690233,dynamic_gen,281
1604783.2590476486,261591.47493042288,dynamic_gen,282
1499334.446461483,128816.97491233211,dynamic_gen,285
1637643.5251570954,323828.5616052722,dynamic_gen,283
1353700.9851303636,85434.95509104198,dynamic_gen,287
1427670.905109996,274768.26306246646,dynamic_gen,286
1604992.3936340038,152643.20725964726,dynamic_gen,284
983809.4886850512,62525.94607182749,dynamic_gen,289
1155579.7633922398,70889.90606573508,dynamic_gen,288
907984.4551652377,61228.07206996334,dynamic_gen,290
875362.1802613133,70797.28035931714,dynamic_gen,291
906330.1036498193,104232.1992438629,dynamic_gen,292
1005060.3018236936,188391.37671443625,dynamic_gen,294
948999.5763661108,144496.69367362733,dynamic_gen,293
1347260.558911746,157213.00121016434,dynamic_gen,295
1569266.6195947654,119375.19557859782,dynamic_gen,296
1592465.4759435065,128535.4100304358,dynamic_gen,297
1479127.8051214083,162372.83130324289,dynamic_gen,298
1434423.1361503669,191187.16766298728,dynamic_gen,299
1447634.4159177989,195711.83006544336,dynamic_gen,300
1452540.3370716646,163273.3021929465,dynamic_gen,302
1441585.1841896153,192240.6211452252,dynamic_gen,301
1524644.419444637,80816.25992715052,dynamic_gen,303
1773944.5623585072,30243.459059879307,dynamic_gen,305
2015974.4212565944,14640.923192789123,dynamic_gen,307
1620046.0981346841,64566.876427772644,dynamic_gen,304
1989482.839102496,9110.73771623887,dynamic_gen,306
1739348.7160688422,0.0,dynamic_gen,309
1918144.1604315331,0.0,dynamic_gen,308
1602443.1593901133,0.0,dynamic_gen,310
1533330.831134046,0.0,dynamic_gen,311
1311241.632472768,0.0,dynamic_gen,312
1139189.4711326505,0.0,dynamic_gen,313
1008661.0200059721,0.0,dynamic_gen,316
1025911.957187153,0.0,dynamic_gen,315
1079000.8275314013,0.0,dynamic_gen,314
994607.2350510076,0.0,dynamic_gen,317
958557.9274557612,14681.710791380316,dynamic_gen,318
973997.2522510779,34119.58006463577,dynamic_gen,319
1071242.7921598386,44181.639164691216,dynamic_gen,320
1148599.0137072387,46197.33055935006,dynamic_gen,321
1226209.549711487,43709.846713218765,dynamic_gen,322
1121779.8408591587,8768.065667314582,dynamic_gen,326
1144100.6814514871,5832.320622895627,dynamic_gen,325
1224081.5418470295,39139.984331071115,dynamic_gen,323
1453469.4231457943,0.0,dynamic_gen,328
1168566.2692823724,25789.470784234523,dynamic_gen,324
1262027.1997659155,0.0,dynamic_gen,327
1785758.7715207348,39615.44376350047,dynamic_gen,330
1616304.9318371587,0.0,dynamic_gen,329
1807466.4314127131,80758.42503176263,dynamic_gen,331
1696616.623618698,0.0,dynamic_gen,332
1526472.0595677951,0.0,dynamic_gen,333
1194515.352992391,0.0,dynamic_gen,336
1402877.8170247567,0.0,dynamic_gen,335
1425819.4566704133,0.0,dynamic_gen,334
1036128.3277327137,0.0,dynamic_gen,337
934594.5553792018,0.0,dynamic_gen,338
880729.9922070203,22796.94970270197,dynamic_gen,340
916162.9922874889,0.0,dynamic_gen,339
881904.1232769615,48709.86125382155,dynamic_gen,341
870279.6746047862,77135.65297671586,dynamic_gen,342
918401.8906749797,18620.12941902406,dynamic_gen,345
847017.500008928,69594.98819995686,dynamic_gen,343
953221.6688934868,26680.3763183139,dynamic_gen,347
878524.4880323267,21033.365325982442,dynamic_gen,344
961010.5603763468,28381.9515478447,dynamic_gen,346
961215.9671860902,39612.25130857054,dynamic_gen,348
939473.738909543,37455.94925003494,dynamic_gen,350
957518.5525875161,51332.6936285623,dynamic_gen,349
999187.9082202164,55427.22936189738,dynamic_gen,351
1069044.3325312324,69688.62121736072,dynamic_gen,352
1304409.3289430544,213284.42970849934,dynamic_gen,354
1140349.5450066677,108490.18591549565,dynamic_gen,353
1360137.7275299986,214981.1687955525,dynamic_gen,355
1193177.498667615,101598.82817925679,dynamic_gen,358
1313191.2392488373,186047.28178846688,dynamic_gen,356
1217725.045453455,158488.6783720888,dynamic_gen,357
1199479.8925318767,76674.19487049695,dynamic_gen,359
982702.2956685496,41123.61574813728,dynamic_gen,361
1060511.1293248066,60236.372400681284,dynamic_gen,360
974582.4689157297,22990.193302659743,dynamic_gen,362
976140.2323495237,8561.304646328259,dynamic_gen,363
1224627.5896009568,0.0,dynamic_gen,366
1027524.2761871314,0.0,dynamic_gen,364
2025795.3748066588,506845.3737016837,dynamic_gen,368
1690207.223315096,37933.642402200734,dynamic_gen,367
1085271.2815074492,0.0,dynamic_gen,365
2097793.499734737,393852.534422221,dynamic_gen,369
1848758.9292486398,269284.6935412915,dynamic_gen,371
1975232.769141927,266040.5947686483,dynamic_gen,370
1827313.736511847,245555.9571501619,dynamic_gen,372
1834013.559521832,371909.84741431405,dynamic_gen,373
2132259.833248719,269159.974478291,dynamic_gen,375
2365038.180758547,37631.77358960854,dynamic_gen,376
2527740.024531267,7516.198226103533,dynamic_gen,377
1947926.30685796,381998.0079748904,dynamic_gen,374
2726167.343031982,5089.652107225343,dynamic_gen,378
2657613.8537547896,0.0,dynamic_gen,380
2744147.386999813,0.0,dynamic_gen,379
2491858.2621695977,0.0,dynamic_gen,381
2407555.3758561,0.0,dynamic_gen,382
2218553.7842842783,0.0,dynamic_gen,383
1694889.6022679016,0.0,dynamic_gen,387
1961924.054307021,0.0,dynamic_gen,384
1846557.232757702,0.0,dynamic_gen,385
1749313.3241194305,0.0,dynamic_gen,386
1679756.655483923,5528.483054388425,dynamic_gen,388
1817575.172124778,27326.635582193718,dynamic_gen,390
2219067.820018529,21899.811919359636,dynamic_gen,391
1704533.974149504,23489.750327236616,dynamic_gen,389
2501211.6039184174,24956.541263911513,dynamic_gen,392
2492790.505740194,10460.857283890044,dynamic_gen,393
2142158.189011529,287298.00999010954,dynamic_gen,394
1920061.6148649054,334116.411386099,dynamic_gen,395
1798691.887738518,377513.5286200056,dynamic_gen,396
1717721.5633646282,344816.34449323907,dynamic_gen,398
1709390.4283610892,350431.8128811751,dynamic_gen,397
1828026.8896541628,343115.3785076713,dynamic_gen,399
2057971.1493060733,203822.5611530941,dynamic_gen,400
2196522.4331636354,63519.81970568634,dynamic_gen,401
2349932.6389585272,83886.82520075564,dynamic_gen,402
2291155.650720489,126212.13283604928,dynamic_gen,404
2350798.7184262546,109098.32971531809,dynamic_gen,403
2261168.911262205,143914.98676530874,dynamic_gen,405
2161429.1721460917,167352.41716962605,dynamic_gen,406
1707013.7658936698,175938.35978310474,dynamic_gen,409
2005973.001242731,184225.81536242334,dynamic_gen,407
1830876.4281912707,186807.94754122215,dynamic_gen,408
1636722.8351263488,68607.88503762474,dynamic_gen,410
1624905.2283942555,854.4043841503197,dynamic_gen,411
1672476.9940892933,111367.785204926,dynamic_gen,413
1775843.2627173827,95053.38287945205,dynamic_gen,414
1637806.8801585636,18485.918109937495,dynamic_gen,412
2114555.072884056,85684.3726976864,dynamic_gen,415
2142134.132010787,128495.78785372427,dynamic_gen,418
2034336.8495425968,214280.88394112888,dynamic_gen,419
2367394.599878286,32197.551445656663,dynamic_gen,416
2323639.3694260716,22306.604967780746,dynamic_gen,417
1946449.6343622054,244747.1343317032,dynamic_gen,421
2271521.8167644637,28650.742805409078,dynamic_gen,424
1944313.3826997287,259867.09837313334,dynamic_gen,420
2116510.4688227526,144008.67542447697,dynamic_gen,423
2020519.1353454867,208703.474471669,dynamic_gen,422
2391048.302048887,0.0,dynamic_gen,428
2386149.213604047,0.0,dynamic_gen,425
2527166.7175725144,0.0,dynamic_gen,426
2518695.8368638335,0.0,dynamic_gen,427
2139368.679894765,0.0,dynamic_gen,430
2224574.229689833,0.0,dynamic_gen,429
1654312.1421251213,0.0,dynamic_gen,434
1993667.4383248617,0.0,dynamic_gen,431
1823485.6439610072,0.0,dynamic_gen,432
1701513.5497764633,0.0,dynamic_gen,433
1687527.4653386942,0.0,dynamic_gen,436
1637223.823506806,0.0,dynamic_gen,435
1728079.6029237309,0.0,dynamic_gen,437
2459525.76235026,0.0,dynamic_gen,440
1877124.0903078592,0.0,dynamic_gen,438
2211524.003715285,0.0,dynamic_gen,439
2493332.1627163887,0.0,dynamic_gen,441
2345153.3913841606,0.0,dynamic_gen,442
2390546.341168071,0.0,dynamic_gen,443
2427865.9060994787,0.0,dynamic_gen,444
2516428.392622157,0.0,dynamic_gen,446
2480515.8089194307,0.0,dynamic_gen,445
2471531.5146777034,0.0,dynamic_gen,449
2504744.6538447193,0.0,dynamic_gen,447
2507325.8657350806,0.0,dynamic_gen,448
2590062.979363511,0.0,dynamic_gen,450
2635167.764666235,0.0,dynamic_gen,451
2601587.9996860153,0.0,dynamic_gen,452
2438306.4982978124,0.0,dynamic_gen,454
2210880.5335987806,0.0,dynamic_gen,455
2472888.3185877567,0.0,dynamic_gen,453
1864751.1069372748,0.0,dynamic_gen,456
1589702.282335705,0.0,dynamic_gen,457
1475353.8453364028,0.0,dynamic_gen,458
1428529.5797682519,0.0,dynamic_gen,459
1461538.3749719323,0.0,dynamic_gen,460
1508080.4307060617,0.0,dynamic_gen,461
1659706.7741018194,0.0,dynamic_gen,462
2280281.5910046957,0.0,dynamic_gen,464
2361354.401675319,0.0,dynamic_gen,465
2001465.6815410135,0.0,dynamic_gen,463
2208693.2782971505,0.0,dynamic_gen,466
2133951.5125786727,19095.807242005434,dynamic_gen,467
2114018.7993924813,134261.2161296154,dynamic_gen,468
2129945.7295856625,127322.97889239754,dynamic_gen,469
2186195.5002972228,74065.4056248636,dynamic_gen,470
2338642.1622227347,0.0,dynamic_gen,471
2524511.369848131,0.0,dynamic_gen,472
2780528.534891394,0.0,dynamic_gen,475
2707297.3488487503,0.0,dynamic_gen,473
2644062.761928441,0.0,dynamic_gen,476
2806741.1858585784,0.0,dynamic_gen,474
2440545.3659708644,0.0,dynamic_gen,477
2214597.1637542946,0.0,dynamic_gen,479
2336533.171535481,0.0,dynamic_gen,478
2073894.6546592806,0.0,dynamic_gen,480
1906882.91024054,0.0,dynamic_gen,481
1826213.1378020705,0.0,dynamic_gen,482
1779461.5359052748,0.0,dynamic_gen,483
