mean_abs_fbme_d1_cgm,strategy,t
7.148509162250881e-13,dynamic_gen,7584
7.481921094383311e-13,dynamic_gen,7585
4.452812647592196e-13,dynamic_gen,7586
6.088577634592861e-13,dynamic_gen,7587
4.433455725588539e-13,dynamic_gen,7588
1.1127081325980404e-12,dynamic_gen,7589
5.2407645226957085,dynamic_gen,7590
79.7244650848933,dynamic_gen,7591
84.54867830838825,dynamic_gen,7592
39.88478078974387,dynamic_gen,7593
36.11653789650375,dynamic_gen,7594
34.142923054151886,dynamic_gen,7595
48.86612603626607,dynamic_gen,7596
51.1045020116655,dynamic_gen,7597
37.440606752760566,dynamic_gen,7598
29.535497387928533,dynamic_gen,7599
20.450575122180023,dynamic_gen,7600
63.123226376701496,dynamic_gen,7601
59.97457180990621,dynamic_gen,7602
42.724115597384014,dynamic_gen,7603
9.277514998449746,dynamic_gen,7604
7.43280527003285,dynamic_gen,7605
11.421349912381334,dynamic_gen,7606
60.40451249676001,dynamic_gen,7607
73.43770911407623,dynamic_gen,7608
81.57862952568574,dynamic_gen,7609
83.8537661645998,dynamic_gen,7610
74.14439863345947,dynamic_gen,7611
73.52853444458096,dynamic_gen,7612
61.261364989273154,dynamic_gen,7613
14.527716673015032,dynamic_gen,7614
33.15211449856646,dynamic_gen,7615
35.057522179113555,dynamic_gen,7616
29.746022932758358,dynamic_gen,7617
25.865681079091207,dynamic_gen,7618
26.441146411368777,dynamic_gen,7619
18.971064758861644,dynamic_gen,7620
16.761378760886807,dynamic_gen,7621
32.76315433424738,dynamic_gen,7622
19.8849232721207,dynamic_gen,7623
32.69528335474301,dynamic_gen,7624
82.62452685433152,dynamic_gen,7625
90.40702589528391,dynamic_gen,7626
83.64273972141616,dynamic_gen,7627
11.75927778794825,dynamic_gen,7628
7.819402768692178,dynamic_gen,7629
8.657062798555471e-12,dynamic_gen,7630
0.8025347702138157,dynamic_gen,7631
0.6421548819130672,dynamic_gen,7632
0.5058497722574018,dynamic_gen,7633
0.434434407748612,dynamic_gen,7634
0.26807838770279485,dynamic_gen,7635
0.22015704716730983,dynamic_gen,7636
0.2848286442792223,dynamic_gen,7637
5.809499626377102e-13,dynamic_gen,7638
30.733791487670402,dynamic_gen,7639
31.375053198024986,dynamic_gen,7640
4.079490838211937,dynamic_gen,7641
4.5237173220655915,dynamic_gen,7642
6.544674255238794,dynamic_gen,7643
6.422838715773255,dynamic_gen,7644
6.5767977278758725,dynamic_gen,7645
6.675731879922144,dynamic_gen,7646
11.571325816042545,dynamic_gen,7647
22.871954495503598,dynamic_gen,7648
51.82194582484635,dynamic_gen,7649
46.611166598096965,dynamic_gen,7650
47.020805585708494,dynamic_gen,7651
23.79274149293724,dynamic_gen,7652
23.766356830513285,dynamic_gen,7653
3.8969693204975466,dynamic_gen,7654
2.26182665237692e-12,dynamic_gen,7655
6.643308711110693e-13,dynamic_gen,7656
1.5898423052256135e-12,dynamic_gen,7657
5.537746882520884e-13,dynamic_gen,7658
6.511739691274534e-13,dynamic_gen,7659
8.629018503575243e-13,dynamic_gen,7660
5.344601193061329e-12,dynamic_gen,7661
20.011579369018065,dynamic_gen,7662
92.97389144659641,dynamic_gen,7663
90.85183310122466,dynamic_gen,7664
50.820209514025386,dynamic_gen,7665
57.0202377001689,dynamic_gen,7666
51.93977712877384,dynamic_gen,7667
57.73389108256516,dynamic_gen,7668
71.63691925607425,dynamic_gen,7669
56.4306313615738,dynamic_gen,7670
