t,line,overload_mw,strategy
29,175,92.30591249999998,NO_SCOPF_50%_pmax_sub
29,176,56.81591249999997,NO_SCOPF_50%_pmax_sub
29,187,4.34913449285466,NO_SCOPF_50%_pmax_sub
29,188,61.74512964121902,NO_SCOPF_50%_pmax_sub
29,213,32.634117382121076,NO_SCOPF_50%_pmax_sub
29,216,99.64197327068723,NO_SCOPF_50%_pmax_sub
29,217,149.4295398325612,NO_SCOPF_50%_pmax_sub
29,218,78.7710023142065,NO_SCOPF_50%_pmax_sub
29,220,39.22753697136568,NO_SCOPF_50%_pmax_sub
29,222,29.105997456550995,NO_SCOPF_50%_pmax_sub
29,223,17.95828595797775,NO_SCOPF_50%_pmax_sub
29,232,2.3190444721799395,NO_SCOPF_50%_pmax_sub
29,239,61.74512964121902,NO_SCOPF_50%_pmax_sub
29,240,124.10995669737349,NO_SCOPF_50%_pmax_sub
29,241,124.10995669737349,NO_SCOPF_50%_pmax_sub
29,271,63.96430921557476,NO_SCOPF_50%_pmax_sub
29,274,116.44802747081121,NO_SCOPF_50%_pmax_sub
29,286,62.60640054166072,NO_SCOPF_50%_pmax_sub
29,291,106.47009179298402,NO_SCOPF_50%_pmax_sub
29,292,107.96640054165994,NO_SCOPF_50%_pmax_sub
30,58,60.18456869042808,NO_SCOPF_50%_pmax_sub
30,77,28.095650913640156,NO_SCOPF_50%_pmax_sub
30,78,55.033382500000016,NO_SCOPF_50%_pmax_sub
30,79,94.55838249999988,NO_SCOPF_50%_pmax_sub
30,86,100.76216678813626,NO_SCOPF_50%_pmax_sub
30,88,147.94284595867293,NO_SCOPF_50%_pmax_sub
30,89,83.06235147883285,NO_SCOPF_50%_pmax_sub
30,94,58.77135948683008,NO_SCOPF_50%_pmax_sub
30,95,44.13652835774201,NO_SCOPF_50%_pmax_sub
30,97,180.71285632984586,NO_SCOPF_50%_pmax_sub
30,101,30.560864436234624,NO_SCOPF_50%_pmax_sub
30,102,20.330470327786315,NO_SCOPF_50%_pmax_sub
30,109,86.58679140177992,NO_SCOPF_50%_pmax_sub
30,114,7.371903946144471,NO_SCOPF_50%_pmax_sub
30,120,58.26753528349229,NO_SCOPF_50%_pmax_sub
30,121,108.78253528349171,NO_SCOPF_50%_pmax_sub
30,145,283.175810531049,NO_SCOPF_50%_pmax_sub
30,146,68.78179017857667,NO_SCOPF_50%_pmax_sub
30,163,6.206602991811764,NO_SCOPF_50%_pmax_sub
30,175,94.55838249999988,NO_SCOPF_50%_pmax_sub
30,176,55.033382500000016,NO_SCOPF_50%_pmax_sub
30,187,7.371903946144471,NO_SCOPF_50%_pmax_sub
30,188,65.76592136954764,NO_SCOPF_50%_pmax_sub
30,213,28.095650913640156,NO_SCOPF_50%_pmax_sub
30,216,98.35320170616501,NO_SCOPF_50%_pmax_sub
30,217,147.94284595867293,NO_SCOPF_50%_pmax_sub
30,218,83.06235147883285,NO_SCOPF_50%_pmax_sub
30,220,44.13652835774201,NO_SCOPF_50%_pmax_sub
30,222,30.560864436234624,NO_SCOPF_50%_pmax_sub
30,223,20.330470327786315,NO_SCOPF_50%_pmax_sub
30,232,0.6767284411234868,NO_SCOPF_50%_pmax_sub
30,239,65.76592136954764,NO_SCOPF_50%_pmax_sub
30,240,125.01235040167649,NO_SCOPF_50%_pmax_sub
30,241,125.01235040167649,NO_SCOPF_50%_pmax_sub
30,271,58.77135948683008,NO_SCOPF_50%_pmax_sub
30,274,115.09423933181961,NO_SCOPF_50%_pmax_sub
30,286,58.26753528349229,NO_SCOPF_50%_pmax_sub
30,291,86.58679140177992,NO_SCOPF_50%_pmax_sub
30,292,108.78253528349171,NO_SCOPF_50%_pmax_sub
31,60,51.12581760435319,NO_SCOPF_50%_pmax_sub
31,77,7.8947570833017835,NO_SCOPF_50%_pmax_sub
31,78,45.90812400000004,NO_SCOPF_50%_pmax_sub
31,79,92.74312400000008,NO_SCOPF_50%_pmax_sub
31,86,52.801566252863495,NO_SCOPF_50%_pmax_sub
31,88,109.71900642461833,NO_SCOPF_50%_pmax_sub
31,89,56.413715242061244,NO_SCOPF_50%_pmax_sub
31,94,80.63871874399865,NO_SCOPF_50%_pmax_sub
31,95,19.94675529111464,NO_SCOPF_50%_pmax_sub
31,97,167.09292017031453,NO_SCOPF_50%_pmax_sub
31,101,25.17203250514217,NO_SCOPF_50%_pmax_sub
31,102,25.709087367371012,NO_SCOPF_50%_pmax_sub
31,143,0.4449274820296978,NO_SCOPF_50%_pmax_sub
31,145,156.36085119448342,NO_SCOPF_50%_pmax_sub
31,146,89.14554961760552,NO_SCOPF_50%_pmax_sub
31,175,92.74312400000008,NO_SCOPF_50%_pmax_sub
31,176,45.90812400000004,NO_SCOPF_50%_pmax_sub
31,213,7.8947570833017835,NO_SCOPF_50%_pmax_sub
31,216,50.73825357894589,NO_SCOPF_50%_pmax_sub
31,217,109.71900642461833,NO_SCOPF_50%_pmax_sub
31,218,56.413715242061244,NO_SCOPF_50%_pmax_sub
31,220,19.94675529111464,NO_SCOPF_50%_pmax_sub
31,222,25.17203250514217,NO_SCOPF_50%_pmax_sub
31,223,25.709087367371012,NO_SCOPF_50%_pmax_sub
31,240,138.3291250344123,NO_SCOPF_50%_pmax_sub
31,241,138.3291250344123,NO_SCOPF_50%_pmax_sub
31,271,80.63871874399865,NO_SCOPF_50%_pmax_sub
31,274,65.0771891517602,NO_SCOPF_50%_pmax_sub
32,60,16.269693961510427,NO_SCOPF_50%_pmax_sub
32,78,34.23818949999986,NO_SCOPF_50%_pmax_sub
32,79,88.35818950000021,NO_SCOPF_50%_pmax_sub
32,86,37.28593543809393,NO_SCOPF_50%_pmax_sub
32,88,94.71240386695433,NO_SCOPF_50%_pmax_sub
32,89,48.79303116530036,NO_SCOPF_50%_pmax_sub
32,94,42.082278385760674,NO_SCOPF_50%_pmax_sub
32,95,18.375574245462303,NO_SCOPF_50%_pmax_sub
32,97,152.07259798305995,NO_SCOPF_50%_pmax_sub
32,101,13.527064399121173,NO_SCOPF_50%_pmax_sub
32,102,32.768430230407375,NO_SCOPF_50%_pmax_sub
32,143,4.685002119694673,NO_SCOPF_50%_pmax_sub
32,145,97.93946349123291,NO_SCOPF_50%_pmax_sub
32,175,88.35818950000021,NO_SCOPF_50%_pmax_sub
32,176,34.23818949999986,NO_SCOPF_50%_pmax_sub
32,216,35.334444031919475,NO_SCOPF_50%_pmax_sub
32,217,94.71240386695433,NO_SCOPF_50%_pmax_sub
32,218,48.79303116530036,NO_SCOPF_50%_pmax_sub
32,220,18.375574245462303,NO_SCOPF_50%_pmax_sub
