t,total_demand_fbmc,total_renewables_fbmc,renewable_share_fbmc,mean_loading_d1,high_loading_share_d1,n_high_loading_lines_d1,n_lines_total_d1,demand_bin,renewables_bin,congestion_bin,strategy
6252,21735.47000000001,8319.641543170213,0.3827679614551795,0.3486651448595464,0.04797047970479705,13,271,high,high,mid,dynamic_gen
6253,21238.520000000004,7401.315808491961,0.348485478672335,0.3348762893948513,0.03690036900369004,10,271,high,mid,mid,dynamic_gen
6254,20428.580000000005,7088.730007180162,0.3470006239875782,0.3250167831733707,0.01845018450184502,5,271,high,mid,mid,dynamic_gen
6255,20191.909999999996,6408.255828482833,0.317367491657938,0.3217415648504541,0.01845018450184502,5,271,mid,mid,mid,dynamic_gen
6256,20055.749999999993,5248.014611522447,0.2616713217666978,0.327016723082026,0.025830258302583026,7,271,mid,mid,mid,dynamic_gen
6257,20356.219999999994,3195.149468397097,0.15696182633107217,0.33106454829391607,0.033210332103321034,9,271,high,mid,mid,dynamic_gen
6258,21171.430000000008,1531.7937079047626,0.07235192464112071,0.32536959323413633,0.04797047970479705,13,271,high,low,mid,dynamic_gen
6259,22055.649999999998,1300.3485255,0.058957615191572235,0.31617618159650285,0.033210332103321034,9,271,high,low,mid,dynamic_gen
6260,22432.14000000001,1376.4945555000004,0.061362605417940495,0.31580526931925146,0.033210332103321034,9,271,high,low,mid,dynamic_gen
6261,20679.660000000007,1411.976652,0.0682785235347196,0.33305267839647607,0.04059040590405904,11,271,high,low,mid,dynamic_gen
6262,18776.920000000002,1417.9671134999994,0.07551649117640163,0.32519971880797766,0.025830258302583026,7,271,mid,low,mid,dynamic_gen
6263,16823.269999999993,1340.387883,0.07967463418229635,0.29623377134854295,0.01107011070110701,3,271,low,low,low,dynamic_gen
6264,15874.440000000004,1174.358628,0.07397795626176418,0.2799321883763767,0.007380073800738007,2,271,low,low,low,dynamic_gen
6265,15625.299999999996,1075.2575580000002,0.06881516246088079,0.2746300234712907,0.007380073800738007,2,271,low,low,low,dynamic_gen
6266,15487.169999999996,996.6485789999999,0.06435317614515758,0.2725360074675023,0.007380073800738007,2,271,low,low,low,dynamic_gen
6267,15478.930000000002,908.0179875000002,0.05866154750360652,0.27466583832156816,0.007380073800738007,2,271,low,low,low,dynamic_gen
6268,15714.389999999992,756.2847149999998,0.048126889748822586,0.2848443020442797,0.007380073800738007,2,271,low,low,low,dynamic_gen
6269,16885.050000000003,644.4145305,0.03816479847557454,0.3035938473308571,0.01845018450184502,5,271,mid,low,mid,dynamic_gen
6270,19834.05,589.0311744156122,0.029697977690668936,0.32946368485237254,0.04797047970479705,13,271,mid,low,mid,dynamic_gen
6271,21234.919999999995,812.1357366754244,0.03824529297381034,0.3212570656060674,0.04797047970479705,13,271,high,low,mid,dynamic_gen
6272,21281.03,1687.6086370574285,0.07930107880386562,0.3359315127505875,0.04428044280442804,12,271,high,low,mid,dynamic_gen
6273,21113.80000000001,2485.9544166517053,0.11774073907357767,0.3451266391632779,0.04797047970479705,13,271,high,low,mid,dynamic_gen
6274,21801.59,2729.5829115183824,0.1252010936596084,0.3465071392068735,0.055350553505535055,15,271,high,low,high,dynamic_gen
6275,20455.459999999995,3296.8140510076373,0.16117036972073168,0.3396388603101489,0.04059040590405904,11,271,high,mid,mid,dynamic_gen
6276,20429.320000000007,3871.813657252602,0.18952239512879532,0.34060993409622803,0.03690036900369004,10,271,high,mid,mid,dynamic_gen
6277,20481.640000000003,4103.41716179326,0.20034612276132474,0.34157163756687386,0.04428044280442804,12,271,high,mid,mid,dynamic_gen
6278,20108.46,4812.56320665697,0.2393302722663481,0.3402476244905475,0.025830258302583026,7,271,mid,mid,mid,dynamic_gen
6279,20159.120000000017,4063.2118919423147,0.20155700704903345,0.3357720523188087,0.033210332103321034,9,271,mid,mid,mid,dynamic_gen
