t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
7034,1351783.2530217413,1351783.2532799428,17627,65,65,0,1
7035,1307803.3437393322,1307803.3439674955,17627,65,65,0,1
7036,1302684.672063184,1302684.672292064,17627,65,65,0,1
7037,1313397.00030471,1313397.000549565,17627,65,65,0,1
7038,1378377.195408611,1378377.1957068215,17627,65,65,0,1
7039,1538909.5094840662,1538909.509784066,17627,65,65,0,1
7040,1551321.3162978608,1551321.3165978603,17627,65,65,0,1
7041,1532571.1595041435,1532571.1598041432,17627,65,65,0,1
7042,1551661.13527055,1551661.1355705499,17627,65,65,0,1
7043,1498039.2662796918,1498039.266543605,17627,65,65,0,1
7044,1402729.8963154042,1402729.8965541683,17627,65,65,0,1
7045,1281481.898740129,1281481.899040128,17627,65,65,0,1
7046,1246471.5244243927,1246471.5247243913,17627,65,65,0,1
7047,1348789.890990909,1348789.8912070724,17627,65,65,0,1
7048,1477006.6374188648,1477006.6376970145,17627,65,65,0,1
7049,1579687.8551806193,1579687.8554806192,17627,65,65,0,1
7050,1760178.419667384,1760178.4199673845,17627,65,65,0,1
7051,1841669.4378718063,1841672.0859334238,17627,65,67,2,2
7052,1645734.996821827,1645734.9971218267,17627,65,65,0,1
7053,1463511.1738994848,1463511.1741008107,17627,65,65,0,1
7054,1356498.7202204126,1356498.7204951537,17627,65,65,0,1
7055,1203829.9489477128,1203829.9492477132,17627,65,65,0,1
7056,1063948.8227450952,1063948.823045096,17627,65,65,0,1
7057,960083.6956451648,960083.6959451645,17627,65,65,0,1
7058,900512.7429751935,900512.7432751937,17627,65,65,0,1
7059,810768.494376934,810768.4946769337,17627,65,65,0,1
7060,785759.6334050848,785759.6337050847,17627,65,65,0,1
7061,795340.465425917,795340.4657259169,17627,65,65,0,1
7062,802111.520503514,802111.5208035137,17627,65,65,0,1
7063,884422.2541094217,884422.2544094218,17627,65,65,0,1
7064,933348.0221321133,933348.0224321135,17627,65,65,0,1
7065,974284.3802185135,974284.3805185225,17627,65,65,0,1
7066,959268.4051618287,959268.405461826,17627,65,65,0,1
7067,878804.3725131513,878804.3728131517,17627,65,65,0,1
7068,812274.488756147,812274.4890561465,17627,65,65,0,1
7069,733600.2888771959,733600.2891771955,17627,65,65,0,1
7070,728826.0326020163,728826.0329020161,17627,65,65,0,1
7071,784940.389375747,784940.3896757469,17627,65,65,0,1
7072,889536.4738630017,889536.4741630014,17627,65,65,0,1
7073,1132793.9934011353,1132793.9937011367,17627,65,65,0,1
7074,1384680.224649875,1384680.224864963,17627,65,65,0,1
7075,1557820.3407365507,1558049.0433256088,17627,65,69,2,2
7076,1424037.2762263045,1424037.2764559085,17627,65,65,0,1
7077,1285929.6414326937,1285929.6416892707,17627,65,65,0,1
7078,1228339.4855025515,1228339.4857845553,17627,65,65,0,1
7079,1055778.3935890114,1055778.393889014,17627,65,65,0,1
7080,907073.5403925023,907073.5406925026,17627,65,65,0,1
7081,870442.2317068182,870442.2319941428,17627,65,65,0,1
7082,846204.7588245054,846204.7590906615,17627,65,65,0,1
7083,845127.1562802729,845127.1565293011,17627,65,65,0,1
7084,904940.3531034463,904940.3533580243,17627,65,65,0,1
7085,1158592.1789234579,1158592.1791420528,17627,65,65,0,1
7086,1691967.509652244,1691967.5099522434,17627,65,65,0,1
7087,2055288.2102435182,2055288.2105435184,17627,65,65,0,1
7088,1988630.892749031,1988630.893049031,17627,65,65,0,1
7089,1790549.1371640365,1790660.0790730244,17627,65,67,2,2
7090,1698537.81563169,1698605.8971331622,17627,65,67,2,2
7091,1624598.9273094467,1624717.2024614587,17627,65,69,2,2
7092,1565132.59955064,1565230.4849875881,17627,65,69,2,2
7093,1537088.4294417435,1537173.59368008,17627,65,69,2,2
7094,1560899.577196213,1560948.204485972,17627,65,67,2,2
7095,1709870.0952133227,1709870.0955133229,17627,65,65,0,1
7096,1806969.969388797,1806969.969688797,17627,65,65,0,1
7097,1951244.4070566285,1951244.4073566287,17627,65,65,0,1
7098,2129709.906532564,2129709.906832568,17627,65,65,0,1
7099,2307818.739478196,2307818.7397781964,17627,65,65,0,1
